publish_date,headline_category,headline_text
2001-10-06 00:00:00,SUN,SUNDAY BRUNCH WITH KARAN JOHAR How he learnt to stop worrying & love the movies
2001-10-07 00:00:00,SUN,SUNDAY SPECIAL Retail feels the pinch as buyers back off
2001-10-07 00:00:00,ONGC,Talks on for IOC; ONGC; GAIL; IPCL merger
2001-10-07 00:00:00,SUN,SUNDAY INTERVIEW / Arindam Chaudhuri Wielding the pen and words; too
2001-10-08 00:00:00,ONGC,ONGC-Videsh seeks Rs 1;000cr more as equity
2001-10-10 00:00:00,ICICI,ICICI; IDBI; IL&Fs to get $300m from ADB
2001-10-11 00:00:00,HDFC,HDFC buys 12.33 lakh equity shares of Hind Oil
2001-10-12 00:00:00,SBI,Only RBI; SBI conduct fire drills
2001-10-15 00:00:00,ITC,HMITC to undertake water conservation plan
2001-10-15 00:00:00,HCL,Govt considers new divestment proposal for HCL
2001-10-17 00:00:00,HDFC,HDFC Q2 net up 14.30%
2001-10-17 00:00:00,HDFC,HDFC not considering universal banking
2001-10-19 00:00:00,HCL,HCL Infosystems net drops 33.5%
2001-10-19 00:00:00,NTPC,NTPC campaign on power reforms begins
2001-10-20 00:00:00,ITC,ITC second quarter net up 29%
2001-10-21 00:00:00,ITC,Minister had to intervene in ITC manager's case
2001-10-22 00:00:00,ICICI,Indiatimes; ICICIdirect to promote online investing
2001-10-24 00:00:00,HCL,HCL Tech provides for doubtful debts
2001-10-26 00:00:00,ICICI,ICICI Bank; ICICI ratify merger; swap ratio at 1:2
2001-10-26 00:00:00,ICICI,ICICI Bank net up 120%; ICICI 11%
2001-10-26 00:00:00,ICICI,Rating agencies not to change ICICI's rating now
2001-10-27 00:00:00,SBI,Mega merger no threat: SBI chief
2001-10-29 00:00:00,HCL,HCL picks stake in Apollo center
2001-10-29 00:00:00,ONGC,Centre rules out divestment of ONGC; IOC; Gail
2001-10-30 00:00:00,ONGC,2 killed in massive fire at ONGC well
2001-10-31 00:00:00,ONGC,ONGC well still in flames; experts rush to Gandhar
2001-10-31 00:00:00,SBI,SBI denies money laundering report
2001-11-01 00:00:00,ONGC,ONGC seeks US experts' help to contain fire
2001-11-02 00:00:00,ICICI,HC quashes ICICI plea
2001-11-02 00:00:00,ITC,Profit-taking; ITC shave Sensex' early gains
2001-11-02 00:00:00,ONGC,ONGC Videsh to pick up 20% in Sakhlain-I
2001-11-04 00:00:00,SBI,GIC; AIG; SBI; IDFC eye equity in Dahej terminal
2001-11-04 00:00:00,ITC,ITC board to meet on Bhadrachalam merger
2001-11-04 00:00:00,ICICI,ICICI Prudential to hike capital by Rs 100 cr
2001-11-05 00:00:00,SBI,Banks wait for SBI to take lead on rate cut
2001-11-05 00:00:00,NTPC,NTPC to hold roadshows on power reforms
2001-11-05 00:00:00,ITC,Sensex declines as ITC; pharma scrips tumble
2001-11-07 00:00:00,ICICI,ICICIdirect.com adds more products to mutual fund plaza
2001-11-09 00:00:00,ICICI,Banks take on HDFC; ICICI in loan war
2001-11-09 00:00:00,NTPC,NTPC scouts for 4 mt of LNG for power plants
2001-11-10 00:00:00,ONGC,Oil mafia behind fire at ONGC's Gandhar wells
2001-11-11 00:00:00,ONGC,ONGC; RPL among top profitable oil cos
2001-11-12 00:00:00,ONGC,Concern over security at ONGC wells
2001-11-12 00:00:00,HCL,HCL to 'repick' acquisition plans
2001-11-12 00:00:00,HCL,Lower valuations prompt HCL on acquisition plans
2001-11-12 00:00:00,SBI,SBI to decide on PLR soon
2001-11-15 00:00:00,SBI,SBI fined $7.5 m for 'unsafe practices'
2001-11-15 00:00:00,SBI,SBI Group's gross NPA at Rs 21;000cr
2001-11-15 00:00:00,HDFC,HDFC to finalise non-life JV soon
2001-11-19 00:00:00,ONGC,ONGC for pool pricing of natural gas
